status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,3.0,1.0,0.05,Port Jervis,New York,12771.0,1251.0,,125500.0
for_sale,,,9.92,Independence Township,New Jersey,7838.0,,1990-09-27,59000.0
for_sale,4.0,3.0,0.43,Tamiment,Pennsylvania,18371.0,2289.0,1989-02-07,279000.0
for_sale,2.0,1.0,0.24,Sparta,New Jersey,7871.0,,2016-11-22,299900.0
for_sale,1.0,1.0,4.5,Pine Island,New York,10969.0,400.0,,219900.0
for_sale,2.0,2.0,0.2,Stillwater,New Jersey,7860.0,1584.0,,299900.0
for_sale,,,7.95,Milford,Pennsylvania,18337.0,,,42500.0
for_sale,2.0,1.0,0.16,Hamburg,New Jersey,7419.0,,,225000.0
for_sale,3.0,3.0,0.56,Lords Valley,Pennsylvania,18428.0,5956.0,,599000.0
for_sale,3.0,1.0,66.7,Sparrow Bush,New York,12780.0,1374.0,2015-09-09,525000.0
for_sale,3.0,2.0,0.23,Vernon,New Jersey,7419.0,,2000-08-16,299000.0
for_sale,4.0,2.0,1.13,East Stroudsburg,Pennsylvania,18301.0,2100.0,2012-04-11,279900.0
for_sale,3.0,1.0,0.15,Belvidere,New Jersey,7823.0,,2017-06-06,164900.0
for_sale,3.0,2.0,1.09,Milford,Pennsylvania,18337.0,4521.0,2018-11-26,447500.0
for_sale,3.0,3.0,12.19,Wantage Township,New Jersey,7461.0,,2007-06-05,639999.0
for_sale,,,1.47,East Stroudsburg,Pennsylvania,18302.0,,,35000.0
for_sale,,,5.18,Milford,Pennsylvania,18337.0,,,79000.0
for_sale,,,1.06,Shohola,Pennsylvania,18458.0,,,19500.0
for_sale,,,0.25,East Stroudsburg,Pennsylvania,18302.0,,,17500.0
for_sale,,,7.2,Sparta,New Jersey,7871.0,,2015-04-20,80000.0
for_sale,,,11.04,Montague,New Jersey,7827.0,,,114900.0
for_sale,3.0,1.0,0.32,Dingmans Ferry,Pennsylvania,18328.0,960.0,2018-02-02,148400.0
for_sale,3.0,2.0,0.1,Byram Township,New Jersey,7874.0,,2019-05-01,424000.0
for_sale,5.0,3.0,1.15,Branchville,New Jersey,7826.0,,2000-06-23,450000.0
for_sale,2.0,2.0,0.5,Hopatcong,New Jersey,7843.0,1468.0,1992-01-08,220000.0
for_sale,,,0.58,Port Jervis,New York,12771.0,,2005-08-18,65000.0
for_sale,,,0.48,East Stroudsburg,Pennsylvania,18301.0,,,27500.0
for_sale,,,0.35,Dingmans Ferry,Pennsylvania,18328.0,,,50000.0
for_sale,3.0,1.0,0.23,Hackettstown,New Jersey,7840.0,,2021-10-05,290000.0
for_sale,,,3.03,Milford,Pennsylvania,18337.0,,,79000.0
for_sale,,,1.45,Hampton,New Jersey,7860.0,,,64900.0
for_sale,,,0.43,Dingmans Ferry,Pennsylvania,18328.0,,,50000.0
for_sale,3.0,3.0,1.03,Milford,Pennsylvania,18337.0,3024.0,,370000.0
for_sale,,,10.77,Montague,New Jersey,7827.0,,1986-07-14,375000.0
for_sale,,,6.88,Green Township,New Jersey,7860.0,,,149900.0
for_sale,,,3.17,Frelinghuysen,New Jersey,7860.0,,,129900.0
for_sale,,,0.79,Mount Bethel,Pennsylvania,18343.0,,,66000.0
for_sale,,,3.27,Mount Bethel,Pennsylvania,18343.0,,2014-12-08,125000.0
for_sale,,,20.62,Matamoras,Pennsylvania,18336.0,,,8000000.0
for_sale,2.0,1.0,0.16,Hamburg,New Jersey,7419.0,,1986-10-31,99000.0
for_sale,3.0,3.0,1.1,Bushkill,Pennsylvania,18324.0,2464.0,,269500.0
for_sale,3.0,3.0,,Allamuchy Township,New Jersey,7840.0,,2014-09-17,435000.0
for_sale,3.0,1.0,0.24,Matamoras,Pennsylvania,18336.0,1134.0,2004-12-17,219000.0
for_sale,4.0,2.0,2.12,Milford,Pennsylvania,18337.0,3476.0,,318000.0
for_sale,4.0,4.0,0.27,Bushkill,Pennsylvania,18324.0,2788.0,,285000.0
for_sale,1.0,1.0,0.1,Shohola,Pennsylvania,18458.0,600.0,,24888.0
for_sale,3.0,1.0,1.28,Hardyston,New Jersey,7419.0,,,235000.0
for_sale,2.0,1.0,0.72,Port Jervis,New York,12771.0,1222.0,1988-05-04,265900.0
for_sale,4.0,2.0,0.11,Port Jervis,New York,12771.0,2409.0,2015-08-26,335000.0
for_sale,2.0,2.0,0.01,East Stroudsburg,Pennsylvania,18302.0,1782.0,2017-08-08,119900.0
for_sale,3.0,2.0,0.68,Milford,Pennsylvania,18337.0,2480.0,2018-11-19,409000.0
for_sale,,,6.37,Blairstown,New Jersey,7825.0,,1995-01-23,70000.0
for_sale,3.0,4.0,0.29,East Stroudsburg,Pennsylvania,18302.0,2815.0,2007-05-03,350000.0
for_sale,4.0,3.0,0.53,Bushkill,Pennsylvania,18324.0,1736.0,2011-09-07,350000.0
for_sale,3.0,3.0,1.23,Hopatcong,New Jersey,7821.0,3000.0,2008-12-23,1775000.0
for_sale,3.0,2.0,0.78,East Stroudsburg,Pennsylvania,18302.0,872.0,2021-04-16,189900.0
for_sale,,,0.64,Lords Valley,Pennsylvania,18428.0,,,24500.0
for_sale,2.0,1.0,0.39,Montague,New Jersey,7827.0,,,65000.0
for_sale,3.0,1.0,0.25,East Stroudsburg,Pennsylvania,18302.0,1408.0,2022-03-16,195000.0
for_sale,3.0,3.0,0.28,Dingmans Ferry,Pennsylvania,18328.0,1800.0,2005-06-22,250000.0
for_sale,4.0,3.0,0.51,Byram Township,New Jersey,7871.0,,2001-04-16,495000.0
for_sale,4.0,1.0,0.65,Hopatcong,New Jersey,7821.0,,2017-11-14,395000.0
for_sale,5.0,3.0,0.34,Bushkill,Pennsylvania,18324.0,2326.0,2020-10-28,284900.0
for_sale,10.0,3.0,0.69,Newton,New Jersey,7860.0,,,399900.0
for_sale,,,1.29,Blairstown,New Jersey,7832.0,,2021-04-22,65000.0
for_sale,4.0,1.0,0.17,Hopatcong,New Jersey,7843.0,,,395000.0
for_sale,5.0,3.0,1.2,Bushkill,Pennsylvania,18324.0,2372.0,2013-03-05,379000.0
for_sale,5.0,4.0,11.0,Blairstown,New Jersey,7825.0,,2002-07-31,699000.0
for_sale,,,2.06,Blairstown,New Jersey,7825.0,,2009-05-18,34900.0
for_sale,3.0,2.0,1.85,Hampton,New Jersey,7860.0,,1992-12-15,434500.0
for_sale,,,8.92,Green Township,New Jersey,7821.0,,,235000.0
